Name,Weight,Can_Swim,Can_Fly,Lifespan_years,Habitat,Nocturnal,Diet,Class
Sparrow,0.03,No,Yes,3,Forest,No,Herbivore,Bird
Eagle,6.0,No,Yes,20,Mountains,No,Carnivore,Bird
Penguin,30.0,Yes,No,15,Polar,No,Carnivore,Bird
Ostrich,90.0,No,No,40,Savannah,No,Herbivore,Bird
Parrot,1.0,No,Yes,50,Tropical,No,Herbivore,Bird
Crow,0.5,No,Yes,15,Forest,No,Omnivore,Bird
Owl,2.0,No,Yes,20,Forest,Yes,Carnivore,Bird
Seagull,1.0,Yes,Yes,10,Coast,No,Omnivore,Bird
Pelican,8.0,Yes,Yes,25,Coast,No,Carnivore,Bird
Flamingo,3.0,Yes,Yes,30,Swamp,No,Herbivore,Bird
Cat,4.0,No,No,15,Domestic,Yes,Carnivore,Mammal
Dog,20.0,Yes,No,12,Domestic,No,Omnivore,Mammal
Dolphin,150.0,Yes,No,30,Ocean,No,Carnivore,Mammal
Bat,0.5,No,Yes,20,Caves,Yes,Omnivore,Mammal
Whale,20000.0,Yes,No,90,Ocean,No,Carnivore,Mammal
Rabbit,2.5,No,No,9,Forest,No,Herbivore,Mammal
Horse,400.0,No,No,25,Grassland,No,Herbivore,Mammal
Cow,600.0,No,No,20,Grassland,No,Herbivore,Mammal
Sheep,70.0,No,No,12,Grassland,No,Herbivore,Mammal
Goat,55.0,No,No,15,Mountain,No,Herbivore,Mammal
Pig,100.0,No,No,15,Domestic,No,Omnivore,Mammal
Lion,190.0,No,No,14,Savannah,No,Carnivore,Mammal
Tiger,220.0,No,No,16,Forest,No,Carnivore,Mammal
Leopard,90.0,No,No,12,Forest,No,Carnivore,Mammal
Wolf,50.0,No,No,14,Forest,No,Carnivore,Mammal
Seal,120.0,Yes,No,25,Ocean,No,Carnivore,Mammal
Walrus,1000.0,Yes,No,40,Ocean,No,Carnivore,Mammal
Shark,800.0,Yes,No,30,Ocean,No,Carnivore,Fish
Salmon,4.0,Yes,No,4,Freshwater,No,Omnivore,Fish
Trout,2.0,Yes,No,5,Freshwater,No,Omnivore,Fish
Tuna,200.0,Yes,No,15,Ocean,No,Carnivore,Fish
Pike,10.0,Yes,No,8,Freshwater,No,Carnivore,Fish
Rattlesnake,2.0,No,No,15,Desert,No,Carnivore,Reptile
Iguana,4.0,No,No,20,Tropical,No,Herbivore,Reptile
Gecko,0.05,No,No,5,Tropical,No,Insectivore,Reptile
Anaconda,250.0,Yes,No,10,Swamp,No,Carnivore,Reptile
Komodo,70.0,No,No,30,Island,No,Carnivore,Reptile
Koi,0.5,Yes,No,25,Freshwater,No,Herbivore,Fish
Moose,500.0,Yes,No,20,Forest,No,Herbivore,Mammal
Deer,90.0,No,No,15,Forest,No,Herbivore,Mammal
Beaver,30.0,Yes,No,12,River,No,Herbivore,Mammal
Otter,15.0,Yes,No,10,River,No,Carnivore,Mammal
Porcupine,10.0,No,No,12,Forest,No,Herbivore,Mammal
Hawk,1.5,No,Yes,15,Mountains,No,Carnivore,Bird
